time,open,high,low,close,"INDIAVIX, NSE: Open","INDIAVIX, NSE: High","INDIAVIX, NSE: Low","INDIAVIX, NSE: Close",Volume,Volume MA
1371786300,5639.8999,5686.1499,5616.8501,5667.6499,19.190001,19.73,18.190001,19.030001,NaN,NaN
1372045500,5638.0498,5640,5566.25,5590.25,19.030001,21.790001,18.48,21.01,NaN,NaN
1372131900,5606.9502,5666.25,5570.25,5609.1001,21.01,22.110001,20.33,21.139999,NaN,NaN
1372218300,5627.9502,5635.25,5579.3501,5588.7002,21.139999,21.219999,20.08,21.07,NaN,NaN
1372304700,5647.9502,5699.3501,5630.9502,5682.3501,21.07,21.07,18.620001,18.85,NaN,NaN
1372391100,5749.5,5852.9502,5749.5,5842.2002,18.85,18.85,17.620001,17.950001,NaN,NaN
1372650300,5834.1001,5904.3501,5822.2002,5898.8501,17.950001,18.719999,17.950001,18.09,NaN,NaN
1372736700,5885.5,5898.7998,5852.2998,5857.5498,18.09,18.549999,17.98,18.209999,NaN,NaN
1372823100,5811.9502,5815,5760.3999,5770.8999,18.209999,19.129999,17.809999,18.91,NaN,NaN
1372909500,5794.75,5848.2002,5786.0498,5836.9502,18.91,19,18,18.58,NaN,NaN
1372995900,5889.9502,5900.4502,5858.4502,5867.8999,18.58,19.01,17.75,18.67,NaN,NaN
1373255100,5833.1499,5833.8501,5775.5498,5811.5498,18.67,19.85,18.379999,19.34,NaN,NaN
1373341500,5834.6001,5864.9502,5834.6001,5859,19.34,19.530001,18.41,19.32,NaN,NaN
1373427900,5869.8999,5879.3501,5802.8501,5816.7002,19.32,20.110001,18.33,19.98,NaN,NaN
1373514300,5894.5,5948.8501,5887.9502,5935.1001,19.98,19.98,18.129999,18.889999,NaN,NaN
1373600700,6000.5,6019,5951.1499,6009,18.889999,18.959999,17.68,18.690001,NaN,NaN
1373859900,5991.2002,6038.2002,5980.9502,6030.7998,18.690001,19.540001,17.629999,18.790001,NaN,NaN
1373946300,5930.7998,5966.0498,5910.9502,5955.25,18.790001,19.82,17.790001,18.99,NaN,NaN
1374032700,5972.25,5989.7998,5926.75,5973.2998,18.99,19.59,17.76,19.360001,NaN,NaN
1374119100,5984.7002,6051.1001,5974.5498,6038.0498,19.360001,19.4,18.07,18.27,NaN,NaN
