time,open,high,low,close,"GOLDBEES, NSE: Open","GOLDBEES, NSE: High","GOLDBEES, NSE: Low","GOLDBEES, NSE: Close",Volume,Volume MA
1371786300,5639.8999,5686.1499,5616.8501,5667.6499,25.45,25.52,25.3105,25.35,NaN,NaN
1372045500,5638.0498,5640,5566.25,5590.25,25.3105,25.548,25.271001,25.43,NaN,NaN
1372131900,5606.9502,5666.25,5570.25,5609.1001,25.398999,25.398999,25.18,25.2605,NaN,NaN
1372218300,5627.9502,5635.25,5579.3501,5588.7002,24.91,24.948,24.428999,24.573999,NaN,NaN
1372304700,5647.9502,5699.3501,5630.9502,5682.3501,24.6105,24.8845,24.52,24.5505,NaN,NaN
1372391100,5749.5,5852.9502,5749.5,5842.2002,24.29,24.29,23.772,23.877,NaN,NaN
1372650300,5834.1001,5904.3501,5822.2002,5898.8501,24.061001,24.498501,24.061001,24.49,NaN,NaN
1372736700,5885.5,5898.7998,5852.2998,5857.5498,24.6105,24.888,24.603999,24.821001,NaN,NaN
1372823100,5811.9502,5815,5760.3999,5770.8999,24.725,24.9095,24.6,24.85,NaN,NaN
1372909500,5794.75,5848.2002,5786.0498,5836.9502,24.8495,24.948,24.8055,24.88,NaN,NaN
1372995900,5889.9502,5900.4502,5858.4502,5867.8999,24.786499,24.88,24.6625,24.88,NaN,NaN
1373255100,5833.1499,5833.8501,5775.5498,5811.5498,24.755,24.7995,24.601499,24.71,NaN,NaN
1373341500,5834.6001,5864.9502,5834.6001,5859,24.8,24.98,24.77,24.8795,NaN,NaN
1373427900,5869.8999,5879.3501,5802.8501,5816.7002,24.82,24.85,24.665,24.8495,NaN,NaN
1373514300,5894.5,5948.8501,5887.9502,5935.1001,25.025,25.41,25.0205,25.2605,NaN,NaN
1373600700,6000.5,6019,5951.1499,6009,25.1,25.28,25.075,25.16,NaN,NaN
1373859900,5991.2002,6038.2002,5980.9502,6030.7998,25.148999,25.478999,25.148999,25.303,NaN,NaN
1373946300,5930.7998,5966.0498,5910.9502,5955.25,25.14,25.15,24.9655,25.133999,NaN,NaN
1374032700,5972.25,5989.7998,5926.75,5973.2998,25.152,25.242,25.1405,25.21,NaN,NaN
1374119100,5984.7002,6051.1001,5974.5498,6038.0498,25.148999,25.21,25.06,25.208999,NaN,NaN
1374205500,6057.2002,6066.8501,6020.25,6029.2002,25.225,25.51,25.225,25.297,NaN,NaN
1374464700,6009.75,6064.1499,6004.25,6031.7998,25.521499,25.8025,25.521499,25.8,NaN,NaN
1374551100,6064.2998,6093.3501,6061.2998,6077.7998,26.0205,26.255,26.0205,26.161001,NaN,NaN
1374637500,6032.2002,6047.25,5962.6001,5990.5,26.18,26.29,25.855,25.88,NaN,NaN
1374723900,5970.3999,5990.6499,5896.3999,5907.5,25.7475,25.7475,25.503,25.55,NaN,NaN
1374810300,5937.9502,5944.5,5869.5,5886.2002,25.851499,25.958501,25.765,25.87,NaN,NaN
1375069500,5869.9502,5886,5825.7998,5831.6499,26.34,26.34,25.8,26.218501,NaN,NaN
1375155900,5836.0498,5861.2998,5747.6001,5755.0498,26.411001,26.64,26.38,26.5,NaN,NaN
1375242300,5738.3501,5752.1001,5675.75,5742,26.7625,27.0105,26.665,26.715,NaN,NaN
1375328700,5776.8999,5808.5,5676.8501,5727.8501,26.5,26.545,26.313501,26.3205,NaN,NaN
1375415100,5750.0498,5761.8501,5649,5677.8999,26.55,26.55,25.841001,25.98,NaN,NaN
1375674300,5682.3999,5721,5661.5,5685.3999,26.3605,26.606499,26.215,26.55,NaN,NaN
1375760700,5664.8999,5664.8999,5521.7998,5542.25,26.348,26.508999,26.1255,26.47,NaN,NaN
1375847100,5549.2998,5561.4502,5486.8501,5519.1001,26.005,26.297,25.9105,26.07,NaN,NaN
1375933500,5510.0498,5577.6001,5510.0498,5565.6499,26.3105,26.548,26.261499,26.32,NaN,NaN
1376279100,5606.7002,5644.1001,5557.1001,5612.3999,26.88,27.15,26.71,27.14,NaN,NaN
1376365500,5600.25,5704.75,5578.8999,5699.2998,27.2605,27.75,27.2605,27.62,NaN,NaN
1376451900,5715.3999,5754.5498,5690.2002,5742.2998,27.5975,27.648,27.4105,27.5,NaN,NaN
1376624700,5705.4502,5716.6001,5496.0498,5507.8501,28.0625,28.798501,27.95,28.53,NaN,NaN
1376883900,5497.5498,5499.6499,5360.6499,5414.75,28.88,29.25,28.88,29.05,NaN,NaN
1376970300,5353.4502,5417.7998,5306.3501,5401.4502,29.2125,29.42,28.43,29.09,NaN,NaN
1377056700,5494.4502,5504.1001,5268.4502,5302.5498,29.05,29.29,28.82,29.1045,NaN,NaN
1377143100,5282.7998,5418.9502,5254.0498,5408.4502,29.3625,29.555,29.105,29.201001,NaN,NaN
1377229500,5428.75,5478.7998,5377.7998,5471.75,29.198501,29.198501,28.971499,28.973999,NaN,NaN
1377488700,5499.3999,5528.7002,5454.4502,5476.5,29.33,29.538501,29.2105,29.438999,NaN,NaN
1377575100,5426.5,5427.3999,5274.25,5287.4502,29.61,30.03,29.5895,29.747,NaN,NaN
1377661500,5233.4502,5317.7002,5118.8501,5285,30.2,30.488,29.903,30.18,NaN,NaN
1377747900,5316.5,5428.8999,5303,5409.0498,29.99,30.048,29.4505,29.93,NaN,NaN
1377834300,5407.4502,5493.2998,5360.2002,5471.7998,29.85,30.0105,29.05,29.123,NaN,NaN
1378093500,5480.25,5564.8999,5478.8501,5550.75,29.11,29.31,28.816001,29.2,NaN,NaN
1378179900,5574.7002,5580.9502,5323.75,5341.4502,29.5,30.0995,29.27,30.01,NaN,NaN
1378266300,5358.6499,5460.25,5318.8999,5448.1001,30.55,30.55,29.703,29.805,NaN,NaN
1378352700,5553.75,5625.75,5552.7002,5592.9502,29.39,29.39,28.92,29.23,NaN,NaN
1378439100,5617.4502,5688.6001,5566.1499,5680.3999,28.9845,29.068999,28.551001,28.59,NaN,NaN
1378784700,5738.5,5904.8501,5738.2002,5896.75,28.6,28.6,28.0625,28.235,NaN,NaN
1378871100,5887.25,5924.3501,5832.7002,5913.1499,28,28.376001,27.96,28.1025,NaN,NaN
1378957500,5931.1499,5932,5815.7998,5850.7002,28.1005,28.3,27.9,28.2095,NaN,NaN
1379043900,5828,5884.2998,5822.8999,5850.6001,28.14,28.14,27.66,27.7,NaN,NaN
1379303100,5930.2998,5957.25,5798.1499,5840.5498,27.7995,27.9,27.525,27.575,NaN,NaN
1379389500,5824.2002,5857.7998,5804.8999,5850.2002,27.5,27.97,27.5,27.85,NaN,NaN
1379475900,5872.75,5916.8999,5840.2002,5899.4502,27.745,27.745,27.38,27.59,NaN,NaN
1379562300,6044.1499,6142.5,6040.1499,6115.5498,28.011499,28.5,28.011001,28.2395,NaN,NaN
1379648700,6104.5498,6130.9502,5932.8501,6012.1001,28.2105,28.498,28.0025,28.1,NaN,NaN
1379907900,5945.7998,5989.3999,5871.3999,5889.75,27.94,27.94,27.7225,27.9005,NaN,NaN
1379994300,5855,5938.3999,5854.5498,5892.4502,27.98,28.193,27.71,27.75,NaN,NaN
1380080700,5901.5498,5910.5498,5811.1001,5873.8501,27.81,28.1,27.81,27.93,NaN,NaN
1380167100,5872.7998,5917.6499,5864.1001,5882.25,27.916499,28.097,27.81,27.912,NaN,NaN
1380253500,5905.5498,5909.2002,5819.2998,5833.2002,27.7525,28.0895,27.6,28,NaN,NaN
1380512700,5801.0498,5810.2002,5718.5,5735.2998,28.251499,28.67,28.251499,28.34,NaN,NaN
1380599100,5756.1001,5786.4502,5700.9502,5780.0498,28.398,28.398,28.03,28.1,NaN,NaN
1380771900,5819.1001,5917.6001,5802.7002,5909.7002,27.84,27.99,27.75,27.93,NaN,NaN
1380858300,5891.2998,5950.4502,5885,5907.2998,28.001499,28.088999,27.812,27.84,NaN,NaN
1381117500,5889.0498,5912,5825.8501,5906.1499,27.9,28.246001,27.801001,28.011001,NaN,NaN
1381203900,5975,5981.7002,5913,5928.3999,27.968,29.1305,27.968,28.75,NaN,NaN
1381290300,5893.25,6015.5,5877.1001,6007.4502,28.75,28.75,28.3,28.3,NaN,NaN
1381376700,6001.0498,6033.9502,5979.7998,6020.9502,28.3805,28.501001,28.223501,28.45,NaN,NaN
1381463100,6104.8501,6107.6001,6046.3999,6096.2002,28.3,28.3,28.01,28.07,NaN,NaN
1381722300,6093,6124.1001,6082.8999,6112.7002,27.85,28.45,27.85,28.37,NaN,NaN
1381808700,6147.5498,6156.2998,6056.5498,6089.0498,28.25,28.4695,28.05,28.1,NaN,NaN
1381981500,6098.5,6110.75,6032.5498,6045.8501,28.35,28.781001,28.206001,28.65,NaN,NaN
1382067900,6070.8999,6201.4502,6070.8999,6189.3501,28.653501,29.05,28.622,28.856001,NaN,NaN
1382327100,6202,6218.9502,6163.2998,6204.9502,28.7,29.2,28.7,29.1,NaN,NaN
1382413500,6192.2998,6220.1001,6181.7998,6202.7998,29,29.361001,29,29.253501,NaN,NaN
1382499900,6209.5498,6217.9502,6116.6001,6178.3501,29.44,29.828,29.403501,29.7725,NaN,NaN
1382586300,6162.7998,6252.4502,6142.9502,6164.3501,29.72,29.86,29.4,29.68,NaN,NaN
1382672700,6154,6174.75,6125.9502,6144.8999,29.661001,29.9,29.6205,29.77,NaN,NaN
1382931900,6155.1001,6168.75,6094.1001,6101.1001,29.7995,29.916499,29.721001,29.883999,NaN,NaN
1383018300,6107.5498,6228.0498,6079.2002,6220.8999,29.875,29.99,29.011499,29.198999,NaN,NaN
1383104700,6230.7998,6269.2002,6222.6001,6251.7002,29.2155,29.216001,28.9,29.08,NaN,NaN
1383191100,6237.1499,6309.0498,6235.8999,6299.1499,29.048999,29.048999,28.581001,28.732,NaN,NaN
1383277500,6289.75,6332.6001,6286.9502,6307.2002,28.748,29.191499,28.7105,28.8795,NaN,NaN
1383623100,6282.1499,6304.75,6244.2998,6253.1499,28.8795,28.8795,28.426001,28.44,NaN,NaN
1383709500,6260.5498,6269.7002,6208.7002,6215.1499,28.521499,28.8,28.32,28.76,NaN,NaN
1383795900,6228.8999,6288.9502,6180.7998,6187.25,28.48,28.896001,28.48,28.6,NaN,NaN
1383882300,6170.1499,6185.1499,6120.9502,6140.75,28.551001,28.74,28.516001,28.693501,NaN,NaN
1384141500,6110.3999,6141.6499,6067.75,6078.7998,28.5775,28.7395,28.4555,28.66,NaN,NaN
1384227900,6087.25,6108.7002,6011.75,6018.0498,28.79,29.07,28.5055,29.02,NaN,NaN
